,Unnamed: 0,Pulse,Op.Cam,Time,Exp.Cam,Disruption,Comments
263,263,101282,KL1-O8WA,63.87473000000001,KL7-E8WB,0.0,Large UFO falls from near upper inner sausages
264,264,99910,KLDT-O5WB,54.611999999999995,KLDT-E5WD,0.0,A lot of particles mOn the termination a lot of UFOs . E5WD seems to be the most sensitive camera showing many UFOs throughout the pulse.
265,265,99910,KLDT-O5WB,50.711999999999996,KLDT-E5WD,0.0,"A lot of particles seen coming from the beam duct area in the pulse.
E5WD seems to be the most sensitive camera showing many UFOs throughout the pulse."
266,266,99910,KLDT-O5WB,48.287,KLDT-E5WD,0.0,"A lot of particles seen coming from the beam duct area in the pulse.
E5WD seems to be the most sensitive camera showing many UFOs throughout the pulse."
267,267,99910,KLDT-O5WB,48.31399999999999,KLDT-E5WE,0.0,A lot of particles seen coming from the beam duct area in the pulse
268,268,99908,KLDT-O5WB,48.25,KLDT-E5WD,0.0,"Many small UFOs throughout most of pulse, staring around 48s and concentrated at the lower inner wall"
269,269,99904,KLDT-O5WB,57.475,KLDT-E5WD,57.317,Spectacular cloud of UFOs on inner wall during disruption
270,270,99902,KLDT-O5WB,55.0125,KLDT-E5WD,55.179,Multi frame UFO during disruption
271,271,99882,KLDT-O5WB,41.5,KLDT-E5WD,49.246,"Lengthy sequence of UFOs seen in Be @ 527 nm, lasting until 41.7625. Very unimpressive in Ops cam."
272,272,99874,KLDT-O5WB,42.1125,KLDT-E5WD,47.281,"Still quite a lot of UFOs in this pulse (here onwards), still MARFE and disruption."
273,273,99865,KLDT-O5WB,41.575,KLDT-E5WD,0.0,"Particles in the divertor for ~15 frames, followed by MARFE"
274,274,99817,KLDT-O5WB,52.9875,KLDT-E5WD,52.957,Frame: 1118-1129. Divertor region after disruption
275,275,99811,KLDT-O5WB,55.512,KLDT-E5WD,55.52,Frames: 1320-1347 (Inner side during the termination phase)
276,276,99802,KLDT-O5WB,47.4125,KLDT-E5WD,49.021,Very bright UFO. Note this camera has Be filter.
277,277,99802,KLDT-O5WB,48.0875,KLDT-E5WD,49.021,Very bright UFO falling vertically. Apparently the cause of radiation spike.
278,278,99797,KLDT-O5WB,51.863,KLDT-E5WC,51.72,A second UFO coming in from the left.
279,279,99797,KLDT-O5WB,51.806000000000004,KLDT-E5WC,51.72,UFO coming in from the left.
280,280,99778,KLDT-O5WB,53.3375,KLDT-E5WD,53.287,Lots UFOs during disruption flying around the vessel (also KLDT- E5WE).
281,281,99748,KLDT-O5WB,67.3,KLDT-E5WD,0.0,"Frames: 2263-2286. Termination phase, outer wall"
282,282,99746,KLDT-O5WB,69.8,KLDT-E5WD,0.0,"Frames: 2463-2478 Termination Phase, slightly larger sizes than in previous pulses. Outer wall."
